Barri;Metres_Quadrats;Num_Habitacions;Num_Lavabos;Preu;Tipus_Immoble
Fort Pienc;110;3;2;950 _;Piso
Raval;138;3;2;1.138 _;Piso
Sarri…;78;2;1;1.000 _;Piso
Sant Gervasi - Bonanova;150;4;2;1.900 _;Piso
G•tic;55;2;1;825 _;Piso
G•tic;42;;1;620 _;Apartamento
Sant Ramon - Maternitat;113;4;3;1.800 _;Piso
Vallcarca - Penitents;238;4;4;4.600 _;Casa
Diagonal Mar - La Mar Bella;121;3;2;2.650 _;Piso
Sagrada Fam¡lia;85;;1;730 _;Loft
Tur¢ de la Peira - Can Peguera;58;2;1;695 _;Piso
St. Pere - Sta. Caterina - El Born;86;3;1;1.590 _;µtico
Raval;45;;1;650 _;Apartamento
Dreta de lïEixample;100;2;2;1.250 _;Piso
Sant Mart¡;60;;1;700 _;Apartamento
Poblenou;55;;1;1.000 _;Piso
G•tic;74;3;2;1.485 _;Piso
Les Corts;62;2;1;1.200 _;Piso
St. Pere - Sta. Caterina - El Born;55;;1;875 _;Piso
Camp de lïArpa;72;3;1;900 _;Apartamento
Sant Gervasi - Bonanova;95;2;2;1.190 _;Piso
Dreta de lïEixample;65;;1;2.100 _;µtico
Esquerra Baixa de lïEixample;77;3;1;1.100 _;Piso
Esquerra Alta de lïEixample;90;3;5;1.295 _;D£plex
Tur¢ de la Peira - Can Peguera;57;2;1;725 _;Piso
Sant Gervasi - Galvany;156;4;2;1.790 _;Piso
G•tic;57;2;1;1.358 _;Piso
Vila de Gr…cia;80;2;1;1.000 _;Piso
Poble Sec;45;2;2;850 _;Piso
Sant Gen¡s dels Agudells;90;3;1;1.100 _;Piso
G•tic;42;;1;850 _;Loft
Proven‡als del Poblenou;75;3;1;950 _;Piso
Camp dïen Grassot - Gr…cia N.;65;3;1;800 _;Piso
Vila Ol¡mpica;70;2;1;1.150 _;Piso
Baix Guinard¢;112;4;2;1.500 _;Piso
Camp de lïArpa;65;2;1;775 _;Piso
Raval;65;2;1;1.050 _;Piso
Hostafrancs;71;2;2;900 _;Piso
Sant Gervasi - Galvany;130;3;2;1.780 _;Piso
Sant Gervasi - Galvany;127;3;2;2.400 _;µtico
Tres Torres;150;4;3;2.700 _;Piso
Barceloneta;34;;1;695 _;Piso
Dreta de lïEixample;70;2;1;1.800 _;Piso
Pedralbes;270;4;4;4.300 _;Piso
Barceloneta;49;2;1;1.050 _;Piso
Vila de Gr…cia;60;3;1;975 _;Piso
Raval;57;2;1;750 _;Piso
St. Pere - Sta. Caterina - El Born;53;;1;1.000 _;µtico
St. Pere - Sta. Caterina - El Born;181;3;4;3.100 _;Piso
Sarri…;115;3;2;2.893 _;Piso
Putget - Farr¢;55;2;1;835 _;Piso
Barceloneta;25;;1;750 _;Loft
Dreta de lïEixample;49;;1;1.000 _;Piso
Baix Guinard¢;84;3;1;975 _;Piso
Sants;84;3;2;1.200 _;µtico
Vila de Gr…cia;100;4;1;1.000 _;Piso
Sant Gervasi - Galvany;55;2;1;990 _;Apartamento
Esquerra Baixa de lïEixample;132;3;2;1.490 _;Piso
Sant Ramon - Maternitat;60;;1;925 _;Piso
Camp de lïArpa;54;3;1;759 _;Piso
Sant Gervasi - Galvany;90;2;2;1.600 _;Piso
Dreta de lïEixample;78;2;1;950 _;Piso
St. Pere - Sta. Caterina - El Born;110;2;1;1.400 _;Piso
Poble Sec;70;2;1;850 _;Piso
Sagrada Fam¡lia;84;3;1;1.150 _;Piso
Poblenou;135;2;2;1.500 _;D£plex
Les Corts;165;4;2;1.950 _;Apartamento
Gl•ries El Parc;84;3;1;1.200 _;Piso
Raval;80;2;1;795 _;Piso
Les Corts;65;2;2;1.200 _;Piso
St. Pere - Sta. Caterina - El Born;70;2;1;1.050 _;Piso
Sant Gervasi - Bonanova;128;4;2;1.500 _;Piso
Navas;70;3;1;950 _;Piso
Sant Gervasi - Galvany;153;5;3;2.800 _;Piso
Sarri…;75;2;2;1.550 _;Piso
St. Pere - Sta. Caterina - El Born;62;;1;950 _;Apartamento
Fort Pienc;103;3;2;990 _;Piso
Raval;50;2;1;800 _;Piso
Sant Ramon - Maternitat;55;3;1;999 _;Piso
Les Corts;100;3;2;1.100 _;Piso
Badal;75;2;1;900 _;Piso
Sarri…;80;3;1;1.250 _;Piso
Barceloneta;30;;1;570 _;Piso
Dreta de lïEixample;75;2;2;1.650 _;Piso
Camp de lïArpa;120;4;2;1.350 _;Piso
Sant Gervasi - Galvany;190;5;2;8.000 _;D£plex
Sant Ramon - Maternitat;94;3;2;1.350 _;Piso
Poblenou;80;3;1;1.000 _;Piso
Les Corts;55;;1;750 _;Planta
Camp de lïArpa;79;2;1;1.000 _;Piso
Gl•ries El Parc;70;2;1;1.150 _;Apartamento
Sant Gervasi - Bonanova;65;2;1;875 _;Apartamento
Raval;60;2;2;1.000 _;Piso
Sant Gervasi - Galvany;70;;1;1.195 _;Piso
Font de la Guatlla;80;4;1;1.100 _;Piso
Sarri…;572;6;6;10.000 _;Casa
G•tic;72;;1;1.100 _;Apartamento
Dreta de lïEixample;96;3;2;1.500 _;Piso
Vila de Gr…cia;40;;1;700 _;Piso
Poble Sec;62;;1;850 _;Piso
