Barri;Metres_Quadrats;Num_Habitacions;Num_Lavabos;Preu;Tipus_Immoble
St. Pere - Sta. Caterina - El Born;64;2;1;800 Û;Piso
St. Pere - Sta. Caterina - El Born;39;;1;625 Û;Piso
Vallcarca - Penitents;69;2;2;1.200 Û;Piso
Barceloneta;47;2;1;750 Û;Piso
Sant Gervasi - Galvany;336;5;6;8.500 Û;çtico
Sant Gervasi - Galvany;247;4;3;3.250 Û;Piso
Sant Gervasi - Galvany;253;5;4;3.550 Û;Piso
Putget - Farr—;134;4;1;1.200 Û;Piso
Les Corts;30;;1;690 Û;Estudio
Guinard—;60;2;1;725 Û;Piso
G˜tic;60;;2;900 Û;Piso
Pedralbes;140;4;2;2.700 Û;Apartamento
Esquerra Alta de l«Eixample;120;3;2;1.300 Û;çtico
Sarriˆ;340;4;3;9.500 Û;Casa
Esquerra Alta de l«Eixample;67;2;1;950 Û;Piso
Horta;76;2;1;900 Û;Piso
Putget - Farr—;177;5;3;1.900 Û;Piso
Vila de Grˆcia;85;2;2;1.000 Û;Piso
Raval;40;;2;700 Û;Piso
Esquerra Baixa de l«Eixample;50;;1;800 Û;Piso
La Salut;98;3;2;1.200 Û;Piso
Vila de Grˆcia;40;;1;800 Û;Piso
Sant Ramon - Maternitat;120;4;2;1.800 Û;Piso
Sant Ramon - Maternitat;120;4;2;1.600 Û;Piso
Sant Gervasi - Galvany;120;4;2;1.850 Û;Piso
Vila de Grˆcia;32;;1;700 Û;Apartamento
G˜tic;50;;1;750 Û;Piso
Esquerra Alta de l«Eixample;114;4;2;1.600 Û;Piso
Vallvidrera - Tibidabo - Les Planes;300;4;5;2.800 Û;Casa
Sant Gervasi - Bonanova;78;3;2;1.300 Û;Piso
Sant Gervasi - Bonanova;850;0;;9.950 Û;Casa
Sagrada Fam’lia;70;3;1;900 Û;Piso
Camp d«en Grassot - Grˆcia N.;55;2;1;847 Û;Piso
G˜tic;120;3;2;1.800 Û;Piso
Sant Gervasi - Galvany;65;2;1;1.380 Û;Piso
Badal;92;3;2;950 Û;Piso
G˜tic;104;4;2;4.100 Û;çtico
La Marina-Montju•c;87;3;1;1.375 Û;çtico
Baix Guinard—;180;3;2;1.600 Û;Dœplex
Vila de Grˆcia;80;3;1;1.150 Û;Piso
Les Corts;44;2;1;800 Û;Piso
Fort Pienc;110;3;2;950 Û;Piso
Raval;138;3;2;1.138 Û;Piso
Sarriˆ;78;2;1;1.000 Û;Piso
Sant Gervasi - Bonanova;150;4;2;1.900 Û;Piso
G˜tic;55;2;1;825 Û;Piso
G˜tic;42;;1;620 Û;Apartamento
Sant Ramon - Maternitat;113;4;3;1.800 Û;Piso
Vallcarca - Penitents;238;4;4;4.600 Û;Casa
Diagonal Mar - La Mar Bella;121;3;2;2.650 Û;Piso
Sagrada Fam’lia;85;;1;730 Û;Loft
Tur— de la Peira - Can Peguera;58;2;1;695 Û;Piso
St. Pere - Sta. Caterina - El Born;86;3;1;1.590 Û;çtico
Raval;45;;1;650 Û;Apartamento
Dreta de l«Eixample;100;2;2;1.250 Û;Piso
Sant Mart’;60;;1;700 Û;Apartamento
Poblenou;55;;1;1.000 Û;Piso
G˜tic;74;3;2;1.485 Û;Piso
Les Corts;62;2;1;1.200 Û;Piso
St. Pere - Sta. Caterina - El Born;55;;1;875 Û;Piso
Camp de l«Arpa;72;3;1;900 Û;Apartamento
Sant Gervasi - Bonanova;95;2;2;1.190 Û;Piso
Dreta de l«Eixample;65;;1;2.100 Û;çtico
Esquerra Baixa de l«Eixample;77;3;1;1.100 Û;Piso
Esquerra Alta de l«Eixample;90;3;5;1.295 Û;Dœplex
Tur— de la Peira - Can Peguera;57;2;1;725 Û;Piso
Sant Gervasi - Galvany;156;4;2;1.790 Û;Piso
G˜tic;57;2;1;1.358 Û;Piso
Vila de Grˆcia;80;2;1;1.000 Û;Piso
Poble Sec;45;2;2;850 Û;Piso
Sant Gen’s dels Agudells;90;3;1;1.100 Û;Piso
G˜tic;42;;1;850 Û;Loft
Provenals del Poblenou;75;3;1;950 Û;Piso
Camp d«en Grassot - Grˆcia N.;65;3;1;800 Û;Piso
Vila Ol’mpica;70;2;1;1.150 Û;Piso
Baix Guinard—;112;4;2;1.500 Û;Piso
Camp de l«Arpa;65;2;1;775 Û;Piso
Raval;65;2;1;1.050 Û;Piso
Hostafrancs;71;2;2;900 Û;Piso
Sant Gervasi - Galvany;130;3;2;1.780 Û;Piso
Sant Gervasi - Galvany;127;3;2;2.400 Û;çtico
Tres Torres;150;4;3;2.700 Û;Piso
Barceloneta;34;;1;695 Û;Piso
Dreta de l«Eixample;70;2;1;1.800 Û;Piso
Pedralbes;270;4;4;4.300 Û;Piso
Barceloneta;49;2;1;1.050 Û;Piso
Vila de Grˆcia;60;3;1;975 Û;Piso
Raval;57;2;1;750 Û;Piso
St. Pere - Sta. Caterina - El Born;53;;1;1.000 Û;çtico
St. Pere - Sta. Caterina - El Born;181;3;4;3.100 Û;Piso
Sarriˆ;115;3;2;2.893 Û;Piso
Putget - Farr—;55;2;1;835 Û;Piso
Barceloneta;25;;1;750 Û;Loft
Dreta de l«Eixample;49;;1;1.000 Û;Piso
Baix Guinard—;84;3;1;975 Û;Piso
Sants;84;3;2;1.200 Û;çtico
Vila de Grˆcia;100;4;1;1.000 Û;Piso
Sant Gervasi - Galvany;55;2;1;990 Û;Apartamento
Esquerra Baixa de l«Eixample;132;3;2;1.490 Û;Piso
Sant Ramon - Maternitat;60;;1;925 Û;Piso
Camp de l«Arpa;54;3;1;759 Û;Piso
Sant Gervasi - Galvany;90;2;2;1.600 Û;Piso
Dreta de l«Eixample;78;2;1;950 Û;Piso
St. Pere - Sta. Caterina - El Born;110;2;1;1.400 Û;Piso
Poble Sec;70;2;1;850 Û;Piso
Sagrada Fam’lia;84;3;1;1.150 Û;Piso
Poblenou;135;2;2;1.500 Û;Dœplex
Les Corts;165;4;2;1.950 Û;Apartamento
Gl˜ries El Parc;84;3;1;1.200 Û;Piso
Raval;80;2;1;795 Û;Piso
Les Corts;65;2;2;1.200 Û;Piso
St. Pere - Sta. Caterina - El Born;70;2;1;1.050 Û;Piso
Sant Gervasi - Bonanova;128;4;2;1.500 Û;Piso
Navas;70;3;1;950 Û;Piso
Sant Gervasi - Galvany;153;5;3;2.800 Û;Piso
Sarriˆ;75;2;2;1.550 Û;Piso
St. Pere - Sta. Caterina - El Born;62;;1;950 Û;Apartamento
Fort Pienc;103;3;2;990 Û;Piso
Raval;50;2;1;800 Û;Piso
Sant Ramon - Maternitat;55;3;1;999 Û;Piso
Les Corts;100;3;2;1.100 Û;Piso
Badal;75;2;1;900 Û;Piso
Sarriˆ;80;3;1;1.250 Û;Piso
Barceloneta;30;;1;570 Û;Piso
Dreta de l«Eixample;75;2;2;1.650 Û;Piso
Camp de l«Arpa;120;4;2;1.350 Û;Piso
Sant Gervasi - Galvany;190;5;2;8.000 Û;Dœplex
Sant Ramon - Maternitat;94;3;2;1.350 Û;Piso
Poblenou;80;3;1;1.000 Û;Piso
Les Corts;55;;1;750 Û;Planta
Camp de l«Arpa;79;2;1;1.000 Û;Piso
Gl˜ries El Parc;70;2;1;1.150 Û;Apartamento
Sant Gervasi - Bonanova;65;2;1;875 Û;Apartamento
Raval;60;2;2;1.000 Û;Piso
Sant Gervasi - Galvany;70;;1;1.195 Û;Piso
Font de la Guatlla;80;4;1;1.100 Û;Piso
Sarriˆ;572;6;6;10.000 Û;Casa
G˜tic;72;;1;1.100 Û;Apartamento
Dreta de l«Eixample;96;3;2;1.500 Û;Piso
Vila de Grˆcia;40;;1;700 Û;Piso
Poble Sec;62;;1;850 Û;Piso
Les Corts;70;3;1;875 Û;çtico
Esquerra Alta de l«Eixample;242;4;3;2.450 Û;Piso
Sant Ramon - Maternitat;135;4;2;1.550 Û;Piso
Putget - Farr—;112;3;4;1.200 Û;Piso
Sant Antoni;85;3;2;1.050 Û;Piso
St. Pere - Sta. Caterina - El Born;70;2;1;1.150 Û;Piso
Badal;60;;1;850 Û;Estudio
Dreta de l«Eixample;78;3;2;1.450 Û;Piso
Pedralbes;200;4;3;2.800 Û;Piso
Esquerra Alta de l«Eixample;144;5;2;1.400 Û;Piso
Raval;55;2;1;750 Û;Dœplex
Les Corts;140;5;3;2.015 Û;Piso
Dreta de l«Eixample;50;;1;825 Û;Piso
Les Corts;76;2;2;1.350 Û;Piso
Camp d«en Grassot - Grˆcia N.;65;3;1;890 Û;Piso
Putget - Farr—;60;2;1;800 Û;Apartamento
Dreta de l«Eixample;74;3;1;1.100 Û;Apartamento
Barceloneta;36;;1;975 Û;çtico
Sant Antoni;80;4;2;4.566 Û;Apartamento
Vila de Grˆcia;70;3;1;950 Û;Piso
Sant Gervasi - Bonanova;66;2;1;975 Û;çtico
Vallcarca - Penitents;85;3;2;1.200 Û;Piso
Sant Andreu;135;3;2;950 Û;Piso
Sant Ramon - Maternitat;53;;1;720 Û;Loft
Sant Gervasi - Galvany;73;2;2;1.650 Û;Piso
Raval;81;3;1;1.300 Û;Apartamento
Dreta de l«Eixample;148;2;2;1.895 Û;Piso
Sant Antoni;75;3;1;1.000 Û;Piso
Putget - Farr—;108;3;2;1.000 Û;Piso
Sant Gervasi - Galvany;73;2;2;1.300 Û;Piso
Sant Gervasi - Bonanova;65;2;2;1.060 Û;Piso
Sarriˆ;97;3;2;1.400 Û;Piso
Esquerra Alta de l«Eixample;110;3;2;1.350 Û;Piso
Sagrada Fam’lia;50;;1;950 Û;Piso
Sants;85;3;2;1.300 Û;Piso
Dreta de l«Eixample;135;4;2;1.550 Û;Piso
Congrs - Indians;75;3;2;900 Û;Piso
Hostafrancs;70;3;2;1.050 Û;Planta
Dreta de l«Eixample;135;4;3;2.200 Û;Piso
Vila de Grˆcia;52;2;1;920 Û;Piso
Sarriˆ;640;7;7;7.700 Û;Casa
Tres Torres;140;3;2;2.500 Û;Piso
Guinard—;85;3;2;875 Û;Piso
Poblenou;90;3;2;1.500 Û;Apartamento
Camp d«en Grassot - Grˆcia N.;58;2;1;895 Û;Piso
Congrs - Indians;70;2;1;800 Û;Piso
Sant Gervasi - Bonanova;70;;1;850 Û;Piso
G˜tic;45;;1;1.500 Û;çtico
Les Corts;120;3;2;1.800 Û;Piso
Porta;54;3;1;800 Û;Piso
Sants;76;2;2;1.100 Û;Piso
Fort Pienc;51;2;1;940 Û;Piso
Pedralbes;280;3;5;3.600 Û;Piso
Sant Gervasi - Galvany;70;2;2;1.100 Û;Piso
Sant Gervasi - Galvany;415;5;5;8.000 Û;çtico
Vila de Grˆcia;88;2;2;1.375 Û;Piso
Sant Gervasi - Galvany;117;3;2;1.700 Û;Piso
Poblenou;73;2;2;1.300 Û;Piso
Putget - Farr—;51;2;1;950 Û;çtico
Les Corts;75;2;1;975 Û;Piso
Esquerra Alta de l«Eixample;75;3;1;1.000 Û;Piso
Les Corts;84;3;2;1.300 Û;Piso
Pedralbes;140;3;3;1.850 Û;Piso
Sants;150;2;1;1.500 Û;Dœplex
Sants;60;2;1;925 Û;Piso
Raval;96;3;2;1.995 Û;Piso
Vallcarca - Penitents;63;2;2;900 Û;Piso
Sagrada Fam’lia;93;4;2;1.200 Û;Piso
Poble Sec;50;;1;730 Û;Piso
Badal;55;2;1;1.200 Û;Apartamento
Vila de Grˆcia;58;;1;1.805 Û;Piso
St. Pere - Sta. Caterina - El Born;38;;1;650 Û;Piso
El Clot;47;;1;875 Û;Apartamento
Navas;69;2;1;1.443 Û;Piso
Sarriˆ;101;3;2;2.150 Û;çtico
Raval;75;3;1;1.000 Û;Apartamento
St. Pere - Sta. Caterina - El Born;45;;1;950 Û;çtico
Sant Gervasi - Bonanova;68;2;1;1.000 Û;Piso
Gl˜ries El Parc;80;3;1;1.021 Û;Piso
Dreta de l«Eixample;148;3;2;1.970 Û;Piso
Sagrada Fam’lia;89;4;2;1.000 Û;Piso
Carmel;55;3;1;700 Û;Piso
Vallcarca - Penitents;41;;1;750 Û;Piso
Sagrada Fam’lia;86;4;2;975 Û;Piso
Sagrada Fam’lia;85;4;1;975 Û;Piso
Camp de l«Arpa;60;2;1;800 Û;Piso
Les Corts;60;3;1;850 Û;Piso
Badal;55;2;1;1.200 Û;Piso
Sagrada Fam’lia;74;4;1;990 Û;Piso
Sarriˆ;143;4;2;2.000 Û;Piso
Sant Antoni;100;3;2;1.450 Û;Piso
Taxonera;83;3;2;1.300 Û;Piso
Sant Gervasi - Bonanova;63;2;1;950 Û;Piso
Tres Torres;50;;1;1.100 Û;Piso
Putget - Farr—;151;3;2;1.700 Û;Piso
Esquerra Alta de l«Eixample;120;4;2;1.400 Û;Piso
St. Pere - Sta. Caterina - El Born;101;2;1;1.160 Û;Piso
El Coll;93;3;2;1.100 Û;Piso
Diagonal Mar - La Mar Bella;153;2;2;2.500 Û;Piso
Dreta de l«Eixample;220;3;2;2.200 Û;Piso
Esquerra Alta de l«Eixample;120;4;2;1.400 Û;Piso
Les Corts;99;4;1;1.140 Û;Piso
Esquerra Alta de l«Eixample;117;4;2;1.400 Û;Apartamento
Poblenou;110;4;2;1.300 Û;Piso
Poblenou;70;3;1;857 Û;Piso
St. Pere - Sta. Caterina - El Born;60;2;1;795 Û;Piso
Sagrada Fam’lia;77;3;1;1.150 Û;Piso
